商品编码,大类,中类,小类,品牌,英文名,商品名,售价
118850,面部护理,面膜,唇膜,兰芝,LANEIGE,夜间保湿修护唇膜20g,125
117913,物料,物料,物料,,,,
112369,彩妆,口红,珠光,迪奥,Dior,烈艳蓝金756,289
116255,面部护理,面膜,唇膜,普拉缇娜,PILATEN,普拉缇娜胶原蛋白唇膜,68
118525,彩妆,眉笔/粉,眉粉,卡姿兰,Carslan,大眼睛俏眉立体眉粉02#棕色2.2g,49
111118,面部护理,面膜,面膜,一叶子,One leaf,水光新颜面膜套组20片,79
111668,美发护理,洗发水,去屑止痒,清扬,CLEAR,男士去屑洗发水套装（600ml+600ml）,68
116436,彩妆,眼影,粉状 ,卡姿兰,Carslan,大地色眼影盘礼盒,55
113971,美发护理,染发,染色发蜡/泥 ,施华蔻,Schwarzkopf,got2b幻变焕彩奶奶灰彩色发蜡,49
113277,美发护理,护法/润发,护发素/乳 ,施华蔻,Schwarzkopf,8金纯盈润精油润发乳600ml,102
112828,面部护理,面膜,面膜,御泥坊,,清洁净肤黑面膜套装 21片装,59.9
112699,面部护理,面霜,面霜/乳,理肤泉,LA ROCHE-POSAY,B5多效修复霜40ml,119
112760,美发护理,洗发水,补水/保湿,飘柔,Rejoice,飘柔洗护套装净油顺爽微米净透,79.9
119720,彩妆,眼影,膏/霜状 ,蜜丝婷,Mistine,大眼睛浓密纤长睫毛膏,69
119795,彩妆,指甲油,甲油 ,膜玉,Candymoyo,膜玉正红8ml,32
116370,美发护理,护法/润发,营养水,柳屋,,柳屋头皮营养液 240ml,75
112480,面部护理,面膜,唇膜,朵拉朵尚,Doradosun,日夜用睡眠唇膜,29
115860,彩妆,腮红,单色腮红,卡姿兰,Carslan,裸妆修颜提亮肤色,45
118827,彩妆,指甲油,甲油 ,Sweetcolor,Sweetcolor,Sweet Color护甲油,26
117055,面部护理,洁面,洁面乳 ,曼秀雷敦,Mentholatum,肌研白润洁面乳100g,46.9
116068,彩妆,唇笔,保湿,蓝秀,LANSHOW,蓝秀溢彩双效唇颊笔,56
119432,面部护理,洁面,洁面皂 ,满婷,MANTING,中华神皂60g,97
111929,彩妆,眼线笔/液,防晕染,奇士美,KissMe,盈美柔滑液体眼线笔0.4ml ,79
113948,面部护理,爽肤水,喷雾,雅漾,Avene,舒护活泉喷雾300ML,186
111080,彩妆,唇笔,显色,兰瑟,LANSUR,兰瑟银炫立体唇线笔,29
110404,饰品,饰品,饰品,,,,
